id,服の状態,理由
knight,整っている,王に仕える正規の騎士。装備は手入れされている
paladin,整っている,神殿の格。白銀は磨かれ、汚れひとつない
shieldguard,整っている,王宮の壁。制式の鎧。乱れは許されない
priest,整っている,清潔な祭服。貧しいが、汚れてはいない
highpriest,整っている,厚い祭服。格式がある
archmage,整っている,儀式のローブ。裾まで整っている
valkyrie,整っている,神の側の者。汚れない
warrior,使い込まれている,傭兵。革は擦れているが、破れてはいない
spearman,使い込まれている,制式の兵士。汚れはあるが装備は整っている
archer,使い込まれている,実用一点張り。汚れているが破れていない
rogue,使い込まれている,目立たないことが仕事。ひらひらさせない
assassin,使い込まれている,極めて簡素で無駄がない。音を立てる布を持たない
bard,使い込まれている,旅装。汚れているが手入れされている
mage,使い込まれている,厚いローブ。裾が擦れる程度
ogre,すり切れている,継ぎはぎの革鎧。合っていない部品の寄せ集め
werewolf,すり切れている,人だった頃の衣が、破れて張りついている
whelp,服を着ない,鱗と爪だけ
dragon,服を着ない,鱗と角と翼だけ
harpy,服を着ない,羽毛が体を覆う
golem,服を着ない,岩と刻印だけ
salamander,服を着ない,炎そのもの
frost,服を着ない,霜の靄そのもの
yeti,服を着ない,厚い毛だけ
berserker,ぼろぼろ,鎧を脱ぎ捨て、布は大きく裂けて細切れになびく
shaman,ぼろぼろ,骨と羽根を結びつけた粗い衣。ほつれ、垂れ下がる
troll,ぼろぼろ,獣の皮を腰に巻くだけ。それも裂けている
