系譜id,剣,短剣,大槌,弓,槍,杖,鉤爪,楽器,鎧,軽鎧,ローブ,獣の皮,印章,護符,霊核
knight,○,○,－,－,○,－,－,－,○,○,－,－,○,－,－
warrior,○,○,○,－,－,－,－,－,○,○,－,－,○,－,－
shieldguard,○,○,－,－,－,－,－,－,○,○,－,－,○,－,－
archer,－,－,－,○,－,－,－,－,－,○,－,－,○,－,－
spearman,－,－,－,－,○,－,－,－,○,○,－,－,○,－,－
bard,－,－,－,－,－,－,－,○,－,－,○,－,○,－,－
rogue,－,○,－,－,－,－,－,－,－,○,－,－,○,－,－
mage,－,○,－,－,－,○,－,－,－,－,○,－,○,－,－
shaman,－,－,－,－,－,○,－,－,－,－,○,－,○,－,－
priest,－,－,－,－,－,○,－,－,－,－,○,－,○,－,－
ogre,○,－,○,－,－,－,－,－,○,○,－,－,－,○,－
troll,－,－,○,－,－,－,－,－,－,－,－,○,－,○,－
werewolf,－,－,－,－,－,－,○,－,－,○,－,○,－,○,－
harpy,－,－,－,－,－,－,○,－,－,－,－,○,－,○,－
valkyrie,○,－,－,○,○,－,－,－,○,○,－,－,－,○,－
whelp,－,－,－,－,－,－,○,－,－,－,－,－,－,○,－
salamander,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○
frost,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○
yeti,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○
sylph,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○
undine,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○
impundulu,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○
dryad,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○
golem,－,－,○,－,－,－,－,－,－,－,－,－,－,－,－
