,,,,,武器,,,,,,,,防具,,,,アクセサリー
tier1,tier2,tire3,理,種族,剣,短剣,大槌,弓,槍,杖,鉤爪,楽器,鎧,軽鎧,ローブ,獣の皮,アクセサリー
騎士,聖騎士,聖騎士王,the Order,人系,○,○,,,○,,,,○,○,,,
狂戦士,,,the Order,人系,○,○,○,,,,,,○,○,,,
槍兵,,,the Order,人系,,,,,○,,,,○,○,,,
護衛兵,王宮護衛,王の盾,the Order,人系,○,○,,,,,,,○,○,,,
弓兵,幻弓士,神弓士,the Order,人系,,,,○,,,,,,○,,,
吟遊詩人,,,the Order,人系,,,,,,,,○,,,○,,
盗賊,,,the Order,人系,,○,,,,,,,,○,,,
暗殺者,,,the Order,人系,,○,,,,,,,,○,,,
魔法使い,大魔法使い,大賢者,the Order,人系,,○,,,,○,,,,,○,,
呪術師,死霊術師,リッチ,the Order,人系,,,,,,○,,,,,○,,
僧侶,高僧,聖者,the Order,人系,,,,,,○,,,,,○,,
オーク,,,TheLife,獣,○,,○,,,,,,○,○,,,
トロール,,,TheLife,獣,,,○,,,,,,,,,○,
人狼,,,TheLife,獣,,,,,,,○,,,○,,○,
ハーピー,,,TheLife,獣,,,,,,,○,,,,,○,
ゴーレム,古代兵,古代巨神,The Other,無生物,,,○,,,,,,,,,,
ヴァルキリー,オーディン,,TheLife,神獣,○,,,○,○,,,,○,,,○,
竜,古竜,竜王,TheLife,竜,,,,,,,○,,,,,,
サラマンダー,フェニックス,,the Spirit,精霊,－,－,－,－,－,－,－,－,－,－,－,－,
イエティ,ヨトゥン,,the Spirit,精霊,－,－,－,－,－,－,－,－,－,－,－,－,
シルフ,アイオロス,,the Spirit,精霊,－,－,－,－,－,－,－,－,－,－,－,－,
ウンディーネ,リヴァイアサン,,the Spirit,精霊,－,－,－,－,－,－,－,－,－,－,－,－,
インプンドゥル,トール,,the Spirit,精霊,－,－,－,－,－,－,－,－,－,－,－,－,
ドライアド,エント,,the Spirit,精霊,－,－,－,－,－,－,－,－,－,－,－,－,
